coverage,iteration,max_fitness,qd_score,time
1.3671875,1.0,193.9858,1499.3004,7.378084
1.5625,2.0,193.9858,1692.883,0.0049231052
1.5625,3.0,193.9858,1712.5155,0.006409645
1.6601562,4.0,193.9858,1919.8643,0.0063090324
1.8554688,5.0,193.9858,2131.4731,0.007128954
1.953125,6.0,193.9858,2245.7832,0.0042448044
2.0507812,7.0,193.9858,2389.0286,0.0062437057
2.0507812,8.0,193.9858,2444.2278,0.0076038837
2.1484375,9.0,193.9858,2549.6423,0.008427858
2.34375,10.0,199.65549,2850.2366,0.0075461864
2.4414062,11.0,199.65549,3024.0808,0.0077974796
2.5390625,12.0,199.65549,3198.244,0.008774757
2.6367188,13.0,199.65549,3307.1562,0.00793004
2.734375,14.0,210.67688,3518.2612,0.0076949596
2.8320312,15.0,210.67688,3670.2114,0.0064070225
2.9296875,16.0,210.67688,3877.6519,0.0069494247
3.125,17.0,235.16522,4213.1753,0.008248568
3.2226562,18.0,235.16522,4324.297,0.0076737404
3.2226562,19.0,235.16522,4363.2812,0.007456064
3.2226562,20.0,235.16522,4376.645,0.007771969
3.3203125,21.0,235.16522,4561.2544,0.0046520233
3.4179688,22.0,235.16522,4689.686,0.0062024593
3.4179688,23.0,235.16522,4689.686,0.0073845387
3.6132812,24.0,235.16522,5036.9995,0.007462263
3.7109375,25.0,235.16522,5180.1567,0.0079844
3.7109375,26.0,235.16522,5199.2524,0.007448435
3.8085938,27.0,259.5709,5502.878,0.007591963
3.8085938,28.0,259.5709,5544.56,0.0076014996
3.90625,29.0,259.5709,5776.1685,0.008248806
3.90625,30.0,259.5709,5782.8257,0.0075728893
3.90625,31.0,259.5709,5787.9746,0.0075764656
3.90625,32.0,259.5709,5787.9746,0.007545471
3.90625,33.0,259.5709,5787.9746,0.007937431
4.0039062,34.0,259.5709,5885.075,0.007469654
4.1015625,35.0,259.5709,6047.3027,0.0074419975
4.1992188,36.0,259.5709,6138.5684,0.0072021484
4.296875,37.0,259.5709,6248.209,0.007960558
4.296875,38.0,259.5709,6248.209,0.0073246956
4.296875,39.0,259.5709,6248.8105,0.007357836
4.3945312,40.0,457.60892,6745.3994,0.007411003
4.3945312,41.0,457.60892,6745.3994,0.007990837
4.3945312,42.0,457.60892,6745.3994,0.0073854923
4.4921875,43.0,457.60892,6845.2207,0.0071873665
4.5898438,44.0,457.60892,7036.7227,0.0073931217
4.6875,45.0,457.60892,7170.4067,0.0077979565
4.6875,46.0,457.60892,7188.2466,0.006899357
4.7851562,47.0,457.60892,7310.613,0.0073707104
4.7851562,48.0,457.60892,7342.4976,0.0072083473
4.7851562,49.0,457.60892,7371.772,0.007975817
4.7851562,50.0,457.60892,7371.772,0.0073184967
4.7851562,51.0,457.60892,7374.111,0.0073900223
4.7851562,52.0,457.60892,7374.111,0.00732255
4.7851562,53.0,457.60892,7374.111,0.0077984333
4.7851562,54.0,457.60892,7393.056,0.007380247
4.7851562,55.0,457.60892,7400.7446,0.00727582
4.8828125,56.0,457.60892,7769.687,0.0072660446
4.9804688,57.0,457.60892,7960.402,0.005982876
5.078125,58.0,457.60892,8132.094,0.0057969093
5.1757812,59.0,457.60892,8455.334,0.0071589947
5.3710938,60.0,457.60892,8690.029,0.007187605
5.3710938,61.0,457.60892,8720.1455,0.010810137
5.46875,62.0,457.60892,9027.661,0.0040712357
5.46875,63.0,457.60892,9070.311,0.00575161
5.5664062,64.0,457.60892,9247.135,0.0073564053
5.5664062,65.0,457.60892,9247.135,0.0062623024
5.6640625,66.0,457.60892,9342.771,0.0056664944
5.9570312,67.0,457.60892,9833.85,0.0060133934
5.9570312,68.0,457.60892,9833.85,0.0059502125
5.9570312,69.0,457.60892,9842.193,0.0077910423
6.0546875,70.0,457.60892,9984.117,0.007411003
6.0546875,71.0,457.60892,9994.049,0.005871296
6.1523438,72.0,457.60892,10179.123,0.0059506893
6.25,73.0,457.60892,10308.496,0.007904768
6.3476562,74.0,457.60892,10462.186,0.0073451996
6.4453125,75.0,457.60892,10543.943,0.005853176
6.5429688,76.0,457.60892,10785.052,0.007194996
6.7382812,77.0,457.60892,11114.364,0.004305601
6.8359375,78.0,457.60892,11235.557,0.0040392876
7.03125,79.0,457.60892,11658.453,0.005629301
7.03125,80.0,457.60892,11681.205,0.010721922
7.2265625,81.0,465.49927,12457.272,0.0078082085
7.2265625,82.0,465.49927,12475.272,0.0058734417
7.3242188,83.0,465.49927,12617.763,0.0069949627
7.421875,84.0,465.49927,12763.877,0.0058887005
7.5195312,85.0,465.49927,12890.578,0.0043406487
7.5195312,86.0,465.49927,12917.906,0.005851269
7.6171875,87.0,465.49927,13172.575,0.004186392
7.7148438,88.0,465.49927,13373.284,0.003946066
7.8125,89.0,465.49927,13701.956,0.006390333
7.8125,90.0,465.49927,13727.3955,0.00710845
7.8125,91.0,465.49927,13727.3955,0.0071663857
8.105469,92.0,465.49927,14444.405,0.0058481693
8.300781,93.0,465.49927,14824.452,0.0076191425
8.3984375,94.0,465.49927,15295.513,0.007262945
8.3984375,95.0,465.49927,15295.513,0.0071890354
8.691406,96.0,465.49927,15870.493,0.0058424473
8.7890625,97.0,465.49927,15998.192,0.006126642
8.984375,98.0,465.49927,16431.88,0.0040209293
8.984375,99.0,465.49927,16431.88,0.0058977604
9.082031,100.0,465.49927,16702.135,0.0073349476
9.082031,101.0,465.49927,16712.887,0.006365299
9.1796875,102.0,465.49927,16901.852,0.006046295
9.1796875,103.0,465.49927,16901.852,0.0071766376
9.277344,104.0,465.49927,17106.336,0.007142067
9.472656,105.0,465.49927,17635.148,0.00800848
9.5703125,106.0,465.49927,17911.92,0.008435249
9.667969,107.0,465.49927,18140.965,0.0038423538
9.863281,108.0,465.49927,18472.84,0.006236315
9.9609375,109.0,465.49927,18601.227,0.011947155
9.9609375,110.0,465.49927,18601.227,0.007350683
10.058594,111.0,465.49927,18758.066,0.0075170994
10.253906,112.0,465.49927,19220.299,0.0059788227
10.449219,113.0,465.49927,19564.285,0.0066189766
10.546875,114.0,465.49927,19671.75,0.007371664
10.644531,115.0,465.49927,19776.777,0.0073053837
10.839844,116.0,465.49927,20140.354,0.0057747364
10.9375,117.0,465.49927,20259.152,0.007783413
11.230469,118.0,465.49927,20906.547,0.005842209
11.425781,119.0,465.49927,21411.31,0.0038838387
11.5234375,120.0,465.49927,21673.105,0.0073008537
11.621094,121.0,465.49927,21930.846,0.0065073967
11.621094,122.0,465.49927,21930.846,0.007365942
11.621094,123.0,465.49927,21937.533,0.006213188
11.621094,124.0,465.49927,21951.541,0.00410223
11.71875,125.0,465.49927,22169.865,0.007897615
11.71875,126.0,465.49927,22185.0,0.0060949326
11.816406,127.0,465.49927,22436.498,0.0038721561
11.9140625,128.0,465.49927,22671.42,0.0060186386
11.9140625,129.0,465.49927,22671.42,0.007875204
11.9140625,130.0,465.49927,22695.473,0.005880356
12.011719,131.0,465.49927,22890.736,0.0058124065
12.011719,132.0,465.49927,23033.498,0.0061631203
12.011719,133.0,465.49927,23033.498,0.007912159
12.207031,134.0,465.49927,23403.234,0.00548172
12.207031,135.0,465.49927,23412.416,0.0070097446
12.207031,136.0,465.49927,23416.488,0.0071792603
12.5,137.0,517.82104,24334.012,0.011200428
12.5,138.0,517.82104,24334.012,0.0048418045
12.597656,139.0,517.82104,24513.396,0.0036432743
12.792969,140.0,517.82104,25151.229,0.007460594
12.792969,141.0,517.82104,25162.514,0.006403208
12.988281,142.0,517.82104,25536.361,0.0062379837
13.183594,143.0,517.82104,25948.115,0.00638628
13.4765625,144.0,517.82104,26625.682,0.0057430267
13.574219,145.0,517.82104,26763.75,0.006461382
13.574219,146.0,517.82104,26796.738,0.007159233
13.671875,147.0,517.82104,26941.717,0.0070898533
13.671875,148.0,517.82104,26973.572,0.006025076
13.671875,149.0,517.82104,26998.428,0.0041897297
13.8671875,150.0,517.82104,27440.043,0.005791664
13.964844,151.0,517.82104,27634.62,0.004003763
13.964844,152.0,517.82104,27651.014,0.005977154
14.0625,153.0,517.82104,27898.56,0.007935286
14.2578125,154.0,517.82104,28568.463,0.007399559
14.2578125,155.0,517.82104,28568.463,0.0061938763
14.355469,156.0,517.82104,28819.605,0.005540371
14.550781,157.0,517.82104,29092.94,0.009511232
14.746094,158.0,517.82104,29359.723,0.005810499
14.84375,159.0,517.82104,29534.383,0.007445574
15.0390625,160.0,517.82104,29930.227,0.007347584
15.0390625,161.0,517.82104,29930.227,0.0061917305
15.136719,162.0,517.82104,30038.424,0.0060539246
15.332031,163.0,517.82104,30534.895,0.005946636
15.4296875,164.0,517.82104,30846.084,0.004188299
15.4296875,165.0,517.82104,30846.084,0.008019447
15.625,166.0,517.82104,31291.902,0.0073111057
15.625,167.0,517.82104,31404.486,0.0056865215
15.8203125,168.0,517.82104,31616.863,0.003950119
16.015625,169.0,517.82104,32184.85,0.0043849945
16.210938,170.0,517.82104,32764.889,0.005908489
16.40625,171.0,517.82104,33292.418,0.0071241856
16.503906,172.0,531.7002,33824.117,0.005786419
16.699219,173.0,531.7002,34328.504,0.006263733
16.894531,174.0,531.7002,34692.6,0.0038015842
16.894531,175.0,531.7002,34702.88,0.0073344707
17.089844,176.0,531.7002,35032.93,0.0038604736
17.382812,177.0,531.7002,35939.305,0.008135557
17.480469,178.0,531.7002,36163.61,0.005624771
17.675781,179.0,531.7002,36570.59,0.007277012
17.773438,180.0,531.7002,36669.465,0.0041794777
17.96875,181.0,531.7002,37193.98,0.008669376
18.164062,182.0,531.7002,37699.902,0.0042529106
18.359375,183.0,531.7002,38331.273,0.0055360794
18.359375,184.0,531.7002,38331.273,0.0058965683
18.554688,185.0,531.7002,38778.023,0.14742994
18.554688,186.0,531.7002,38834.734,0.0038442612
18.75,187.0,531.7002,39520.56,0.0074310303
18.945312,188.0,531.7002,39791.676,0.0057287216
18.945312,189.0,531.7002,39803.082,0.006576538
18.945312,190.0,531.7002,39828.176,0.007118225
18.945312,191.0,531.7002,39852.07,0.0073592663
19.042969,192.0,531.7002,40020.07,0.005957842
19.335938,193.0,656.952,40886.027,0.006216049
19.53125,194.0,656.952,41299.88,0.007330179
19.628906,195.0,656.952,41399.35,0.007189274
19.824219,196.0,656.952,41849.84,0.0074214935
19.921875,197.0,656.952,41968.152,0.007918119
20.019531,198.0,656.952,42308.902,0.006211281
20.117188,199.0,656.952,42455.53,0.005748987
20.214844,200.0,656.952,42599.68,0.006038189
20.507812,201.0,656.952,43134.324,0.007985115
20.507812,202.0,656.952,43134.324,0.0040864944
20.507812,203.0,656.952,43134.324,0.007415056
20.703125,204.0,656.952,43688.613,0.006043911
20.898438,205.0,656.952,44106.55,0.0070631504
20.996094,206.0,656.952,44403.836,0.005961418
20.996094,207.0,656.952,44500.938,0.0073969364
21.289062,208.0,656.952,45107.33,0.007253647
21.484375,209.0,656.952,45650.6,0.007856369
21.484375,210.0,656.952,45708.156,0.0071954727
21.679688,211.0,656.952,46004.688,0.0038170815
21.875,212.0,656.952,46531.633,0.007172346
21.972656,213.0,656.952,46674.367,0.006551504
21.972656,214.0,656.952,46674.367,0.0060544014
22.265625,215.0,656.952,47215.844,0.007164955
22.460938,216.0,656.952,47743.78,0.007390976
22.558594,217.0,656.952,48065.93,0.0065169334
22.65625,218.0,656.952,48274.656,0.0038852692
22.753906,219.0,656.952,48389.438,0.0071389675
22.949219,220.0,656.952,48884.15,0.0074989796
23.046875,221.0,656.952,49008.555,0.007911205
23.242188,222.0,656.952,49451.75,0.006137848
23.339844,223.0,656.952,49707.68,0.0074193478
23.339844,224.0,656.952,49773.086,0.007256508
23.339844,225.0,656.952,49785.92,0.00433445
23.535156,226.0,656.952,50305.547,0.0057895184
23.632812,227.0,656.952,50773.492,0.0073213577
23.632812,228.0,656.952,50796.758,0.0071058273
23.632812,229.0,656.952,50803.71,0.007998705
23.632812,230.0,656.952,50816.812,0.005945921
23.730469,231.0,656.952,51104.97,0.0071783066
23.730469,232.0,656.952,51116.35,0.007131338
23.730469,233.0,656.952,51116.35,0.004248619
23.828125,234.0,656.952,51248.17,0.0070774555
23.925781,235.0,656.952,51336.082,0.007205248
24.121094,236.0,656.952,51769.664,0.007222891
24.316406,237.0,656.952,52263.8,0.0077102184
24.511719,238.0,656.952,52764.004,0.0040020943
24.707031,239.0,656.952,53269.5,0.007229805
24.804688,240.0,656.952,53662.547,0.007467985
24.902344,241.0,656.952,53988.438,0.003968239
24.902344,242.0,656.952,54089.64,0.003984213
25.097656,243.0,656.952,54566.84,0.006060362
25.097656,244.0,656.952,54568.355,0.00406909
25.097656,245.0,656.952,54568.754,0.0079369545
25.195312,246.0,656.952,54733.37,0.0038945675
25.195312,247.0,656.952,54733.37,0.007507324
25.292969,248.0,656.952,55037.574,0.005989313
25.390625,249.0,656.952,55146.465,0.004225731
25.488281,250.0,656.952,55588.09,0.13025546
