coverage,iteration,max_fitness,qd_score,time
1.2695312,1.0,138.62813,1250.926,7.047512
1.4648438,2.0,148.62933,1576.0574,0.0049216747
1.5625,3.0,148.62933,1716.2073,0.0068047047
1.7578125,4.0,148.62933,1913.6957,0.009676456
1.953125,5.0,148.62933,2118.9055,0.008691072
2.2460938,6.0,149.98615,2510.6653,0.012085915
2.5390625,7.0,155.71698,2938.2275,0.0048246384
2.8320312,8.0,323.41953,3484.394,0.0085532665
3.2226562,9.0,323.41953,4089.4065,0.0057423115
3.3203125,10.0,323.41953,4204.2363,0.008322716
3.8085938,11.0,323.41953,5148.022,0.0068466663
4.296875,12.0,323.41953,6103.2183,0.006702423
4.9804688,13.0,323.41953,7192.262,0.012040138
5.3710938,14.0,323.41953,8106.838,0.0049579144
5.7617188,15.0,323.41953,8802.651,0.00706172
6.25,16.0,323.41953,9735.604,0.006845951
6.5429688,17.0,323.41953,10117.915,0.006572962
6.8359375,18.0,323.41953,10686.188,0.0066890717
7.2265625,19.0,323.41953,11381.368,0.008463144
7.6171875,20.0,323.41953,12137.253,0.0068411827
8.0078125,21.0,323.41953,12927.179,0.00635314
8.3984375,22.0,323.41953,13500.558,0.008298874
8.984375,23.0,323.41953,14580.657,0.008067369
9.472656,24.0,323.41953,15549.735,0.006468296
9.667969,25.0,323.41953,16072.368,0.009587526
10.253906,26.0,323.41953,17282.723,0.0063636303
10.839844,27.0,323.41953,18546.926,0.005774021
11.035156,28.0,323.41953,19111.727,0.0067784786
11.425781,29.0,323.41953,19784.48,0.008260012
11.5234375,30.0,323.41953,20259.096,0.0063283443
12.011719,31.0,323.41953,21465.137,0.008594513
12.5,32.0,323.41953,22515.74,0.0068309307
12.890625,33.0,338.43515,23595.805,0.006734371
13.378906,34.0,338.43515,24534.049,0.006916046
13.671875,35.0,338.43515,25355.443,0.007900476
14.160156,36.0,582.3856,26731.994,0.0063431263
14.550781,37.0,582.3856,27739.223,0.008430243
14.941406,38.0,582.3856,28607.316,0.012055874
15.4296875,39.0,582.3856,29725.088,0.0063688755
15.625,40.0,582.3856,30380.42,0.009615898
15.8203125,41.0,582.3856,30892.682,0.004528284
16.308594,42.0,582.3856,32165.213,0.0086045265
16.699219,43.0,582.3856,33009.7,0.006845951
16.894531,44.0,582.3856,33522.027,0.0067107677
17.285156,45.0,582.3856,34687.406,0.008473158
17.675781,46.0,582.3856,35969.406,0.0067830086
17.96875,47.0,582.3856,37023.594,0.007740736
18.261719,48.0,582.3856,37548.02,0.008472919
18.457031,49.0,582.3856,38258.36,0.00681448
18.652344,50.0,582.3856,38716.67,0.00799942
18.847656,51.0,582.3856,39132.258,0.0068039894
19.140625,52.0,582.3856,39853.695,0.005342722
19.433594,53.0,582.3856,40362.4,0.006688595
19.726562,54.0,582.3856,40979.46,0.011426687
20.117188,55.0,582.3856,41887.16,0.007106304
20.605469,56.0,582.3856,42965.25,0.011754036
21.09375,57.0,582.3856,44360.453,0.007823467
21.679688,58.0,582.3856,45876.766,0.00675869
21.972656,59.0,582.3856,46593.6,0.0067806244
22.363281,60.0,582.3856,47818.504,0.009711504
22.851562,61.0,582.3856,49515.793,0.0049266815
23.242188,62.0,582.3856,50438.523,0.0067870617
23.4375,63.0,582.3856,51218.938,0.009643316
23.730469,64.0,582.3856,52217.113,0.0068809986
23.925781,65.0,582.3856,52865.863,0.0065112114
24.023438,66.0,582.3856,53215.074,0.006806135
24.414062,67.0,582.3856,54320.438,0.0068449974
24.707031,68.0,582.3856,55375.02,0.0069537163
24.804688,69.0,582.3856,55621.62,0.0063672066
25.0,70.0,582.3856,56078.69,0.006855011
25.292969,71.0,582.3856,56932.254,0.0068969727
25.488281,72.0,582.3856,57473.934,0.007849693
25.683594,73.0,582.3856,57878.96,0.006727934
25.683594,74.0,582.3856,57888.445,0.008707762
26.367188,75.0,582.3856,59857.918,0.006572485
26.5625,76.0,582.3856,60311.598,0.0067555904
26.855469,77.0,582.3856,61073.82,0.008598328
26.953125,78.0,582.3856,61268.84,0.008150578
27.050781,79.0,582.3856,61542.86,0.006855011
27.246094,80.0,582.3856,62052.633,0.008440733
27.34375,81.0,582.3856,62327.57,0.008336544
27.539062,82.0,582.3856,62793.6,0.006746769
27.636719,83.0,582.3856,62948.883,0.008605242
27.636719,84.0,582.3856,63035.383,0.006989479
27.734375,85.0,582.3856,63386.9,0.008595228
28.125,86.0,582.3856,64206.562,0.0068695545
28.515625,87.0,582.3856,65128.824,0.006757021
28.710938,88.0,582.3856,65498.13,0.00854373
28.90625,89.0,582.3856,66156.43,0.006766796
28.90625,90.0,582.3856,66249.945,0.008641958
29.101562,91.0,582.3856,66816.45,0.006391287
29.199219,92.0,582.3856,67213.984,0.008405685
29.492188,93.0,582.3856,67895.47,0.008027554
29.492188,94.0,582.3856,68039.34,0.0083863735
29.492188,95.0,582.3856,68223.22,0.008141756
29.492188,96.0,582.3856,68470.91,0.008676529
29.785156,97.0,582.3856,69353.69,0.0067961216
29.980469,98.0,582.3856,69798.86,0.006681204
29.980469,99.0,582.3856,69960.93,0.0066103935
30.273438,100.0,582.3856,70764.055,0.008195162
30.273438,101.0,582.3856,70834.18,0.008407116
30.371094,102.0,582.3856,71035.0,0.008057356
30.566406,103.0,582.3856,71457.05,0.008038998
30.859375,104.0,769.58154,72636.45,0.00850749
30.957031,105.0,769.58154,72925.73,0.008628368
30.957031,106.0,769.58154,73033.39,0.008014679
31.445312,107.0,769.58154,74119.234,0.008646727
31.542969,108.0,769.58154,74368.33,0.008415699
31.640625,109.0,769.58154,74596.39,0.006424904
31.835938,110.0,769.58154,75388.33,0.008460999
31.835938,111.0,769.58154,75435.73,0.0084939
32.03125,112.0,769.58154,76591.664,0.008689642
32.128906,113.0,769.58154,76879.46,0.0069055557
32.226562,114.0,769.58154,77154.734,0.006733656
32.421875,115.0,769.58154,77806.83,0.008335829
32.617188,116.0,769.58154,78317.914,0.008133173
32.8125,117.0,769.58154,78833.67,0.008212805
32.910156,118.0,769.58154,79069.484,0.008486748
33.007812,119.0,769.58154,79553.664,0.006418228
33.203125,120.0,769.58154,80140.54,0.008654118
33.30078,121.0,769.58154,80537.02,0.008353949
33.398438,122.0,769.58154,80712.26,0.008602858
33.691406,123.0,769.58154,81441.89,0.0067436695
33.88672,124.0,769.58154,82135.86,0.0066080093
33.88672,125.0,769.58154,82694.59,0.00822258
33.984375,126.0,769.58154,82959.59,0.008625269
34.179688,127.0,769.58154,83478.484,0.0064091682
34.179688,128.0,769.58154,83542.336,0.008689165
34.375,129.0,769.58154,84022.65,0.0066428185
34.66797,130.0,769.58154,84854.58,0.0066730976
34.86328,131.0,769.58154,85319.02,0.00859952
34.86328,132.0,769.58154,85442.71,0.006436825
34.960938,133.0,769.58154,85913.19,0.008574963
35.15625,134.0,769.58154,86720.19,0.0080688
35.44922,135.0,769.58154,87655.33,0.008572817
35.546875,136.0,769.58154,88253.37,0.008427143
35.742188,137.0,769.58154,88655.41,0.0068325996
35.839844,138.0,769.58154,88793.93,0.008481264
35.9375,139.0,769.58154,89239.41,0.008364677
36.132812,140.0,769.58154,89835.62,0.008589029
36.328125,141.0,769.58154,90274.42,0.008081675
36.42578,142.0,769.58154,90635.84,0.008482456
36.523438,143.0,769.58154,91094.65,0.008485556
36.71875,144.0,769.58154,91601.3,0.008333206
36.914062,145.0,769.58154,92444.58,0.008104801
36.914062,146.0,769.58154,92715.75,0.008429289
37.109375,147.0,769.58154,93755.19,0.008391142
37.5,148.0,769.58154,94909.84,0.008430481
37.597656,149.0,769.58154,95339.91,0.008513451
37.695312,150.0,769.58154,95825.984,0.0067532063
37.79297,151.0,769.58154,96360.22,0.008471966
37.98828,152.0,769.58154,97050.734,0.008450508
37.98828,153.0,769.58154,97068.64,0.0083630085
38.085938,154.0,769.58154,97308.84,0.008263588
38.183594,155.0,769.58154,97695.47,0.008476496
38.28125,156.0,769.58154,98524.16,0.008466721
38.378906,157.0,769.58154,98941.31,0.008074284
38.57422,158.0,769.58154,99601.03,0.008470058
38.671875,159.0,769.58154,100175.39,0.008480549
38.964844,160.0,769.58154,101159.234,0.00808835
39.160156,161.0,769.58154,101620.58,0.008612633
39.160156,162.0,769.58154,101658.72,0.006973982
39.35547,163.0,769.58154,102052.46,0.008451939
39.648438,164.0,769.58154,102718.51,0.0087451935
39.84375,165.0,769.58154,103140.88,0.0067021847
40.039062,166.0,769.58154,103897.02,0.0067038536
40.039062,167.0,769.58154,103897.05,0.008223295
40.039062,168.0,769.58154,104068.69,0.00847888
40.13672,169.0,769.58154,104314.5,0.00846386
40.13672,170.0,769.58154,104417.72,0.008458853
40.234375,171.0,769.58154,104867.734,0.008400202
40.234375,172.0,769.58154,104912.51,0.008402586
40.234375,173.0,769.58154,105167.98,0.008644104
40.33203,174.0,769.58154,105688.36,0.006807804
40.527344,175.0,769.58154,106548.84,0.008612871
40.527344,176.0,769.58154,106689.65,0.008476973
40.527344,177.0,769.58154,106748.41,0.008693457
40.527344,178.0,769.58154,107041.83,0.008082867
40.625,179.0,769.58154,107212.734,0.008121729
40.722656,180.0,769.58154,107621.25,0.008375406
40.91797,181.0,769.58154,108196.14,0.0084786415
40.91797,182.0,769.58154,108729.51,0.0083732605
41.015625,183.0,769.58154,109241.49,0.008388519
41.015625,184.0,769.58154,109373.18,0.008364677
41.11328,185.0,769.58154,109740.086,0.008282423
41.308594,186.0,769.58154,110623.87,0.008401871
41.40625,187.0,769.58154,111224.555,0.008494139
41.40625,188.0,769.58154,111358.555,0.008503914
41.601562,189.0,769.58154,111836.77,0.008420229
41.69922,190.0,769.58154,112443.38,0.008418083
41.796875,191.0,769.58154,112941.695,0.008374214
42.089844,192.0,769.58154,113740.14,0.008381844
42.1875,193.0,769.58154,113896.2,0.008477449
42.382812,194.0,769.58154,114716.69,0.008452892
42.382812,195.0,769.58154,114768.016,0.008472204
42.578125,196.0,769.58154,115277.67,0.008516312
42.578125,197.0,769.58154,115317.016,0.008155584
42.578125,198.0,769.58154,115373.44,0.008432627
42.67578,199.0,769.58154,115629.875,0.008439302
42.773438,200.0,769.58154,116004.87,0.008441687
42.96875,201.0,769.58154,116689.87,0.008455038
43.164062,202.0,769.58154,117237.88,0.008484125
43.164062,203.0,769.58154,117245.18,0.0064337254
43.26172,204.0,769.58154,117662.13,0.008113623
43.26172,205.0,769.58154,117749.21,0.008411884
43.359375,206.0,769.58154,118021.17,0.008446217
43.45703,207.0,769.58154,118567.62,0.008439541
43.45703,208.0,769.58154,118702.484,0.008391142
43.45703,209.0,769.58154,118757.27,0.00848937
43.45703,210.0,769.58154,118771.164,0.008484364
43.554688,211.0,769.58154,119145.51,0.008418083
43.75,212.0,769.58154,119733.68,0.008226156
43.75,213.0,769.58154,119764.13,0.008466959
43.945312,214.0,769.58154,120315.53,0.008500576
43.945312,215.0,769.58154,120455.92,0.008491039
43.945312,216.0,769.58154,120562.14,0.008468628
44.04297,217.0,769.58154,120987.46,0.008327246
44.04297,218.0,769.58154,121049.9,0.008471489
44.04297,219.0,769.58154,121146.97,0.008428335
44.04297,220.0,769.58154,121264.07,0.0084939
44.04297,221.0,769.58154,121532.24,0.008509159
44.23828,222.0,769.58154,121976.91,0.007994175
44.335938,223.0,769.58154,122231.125,0.0080688
44.433594,224.0,769.58154,122468.234,0.008476496
44.53125,225.0,769.58154,123030.42,0.008082628
44.628906,226.0,769.58154,123266.15,0.008444071
44.628906,227.0,769.58154,123480.47,0.008058548
44.628906,228.0,769.58154,123480.47,0.008534193
44.82422,229.0,769.58154,123947.47,0.0081317425
44.921875,230.0,769.58154,124208.13,0.007996321
45.01953,231.0,807.24634,125197.14,0.008476496
45.01953,232.0,807.24634,125504.06,0.008503437
45.01953,233.0,807.24634,125567.27,0.008085012
45.01953,234.0,807.24634,125696.31,0.008499861
45.01953,235.0,807.24634,126110.41,0.008362055
45.117188,236.0,807.24634,126749.13,0.008496761
45.117188,237.0,807.24634,126793.414,0.00839901
45.214844,238.0,807.24634,127229.52,0.00810194
45.214844,239.0,807.24634,127231.016,0.008450985
45.214844,240.0,807.24634,127339.77,0.008396864
45.3125,241.0,807.24634,127614.32,0.0084757805
45.410156,242.0,807.24634,127712.52,0.008133173
45.410156,243.0,807.24634,127771.54,0.0083498955
45.60547,244.0,807.24634,128470.234,0.008399963
45.60547,245.0,807.24634,128613.75,0.008476496
45.60547,246.0,807.24634,128719.26,0.0085065365
45.80078,247.0,807.24634,129087.305,0.008327723
45.80078,248.0,807.24634,129220.04,0.008427143
45.80078,249.0,807.24634,129322.945,0.00841403
45.80078,250.0,807.24634,129362.445,0.008476734
