coverage,iteration,max_fitness,qd_score,time
1.4648438,1.0,859.9399,50152.473,3.0485604
1.6601562,2.0,859.9399,54075.45,0.0023026466
2.0507812,3.0,933.13763,68075.164,0.0022513866
2.1484375,4.0,933.13763,71263.28,0.0022687912
2.34375,5.0,933.13763,77891.51,0.0022842884
2.5390625,6.0,933.13763,84494.89,0.0022463799
2.6367188,7.0,933.13763,87975.05,0.0022361279
2.8320312,8.0,933.13763,94652.516,0.0023794174
2.9296875,9.0,933.13763,98053.84,0.0024039745
3.125,10.0,933.13763,108474.195,0.0028181076
3.2226562,11.0,933.13763,111726.99,0.0022554398
3.3203125,12.0,933.13763,115199.89,0.0022528172
3.4179688,13.0,933.13763,117000.44,0.0022771358
3.6132812,14.0,933.13763,124682.836,0.0022575855
3.8085938,15.0,933.13763,132060.92,0.0022287369
3.8085938,16.0,934.881,132184.0,0.0028133392
3.8085938,17.0,934.881,132393.95,0.002247572
4.0039062,18.0,934.881,138980.08,0.0022771358
4.0039062,19.0,934.881,138986.25,0.0022797585
4.1015625,20.0,955.1983,144207.61,0.0022711754
4.296875,21.0,955.1983,151268.2,0.002272129
4.4921875,22.0,955.1983,157774.78,0.0026988983
4.5898438,23.0,955.1983,161017.33,0.0022566319
4.6875,24.0,955.1983,164241.34,0.002282381
4.7851562,25.0,955.1983,167474.22,0.0022468567
4.8828125,26.0,955.1983,171655.88,0.0022411346
4.9804688,27.0,955.1983,174886.9,0.0022568703
5.078125,28.0,955.1983,178104.2,0.0022785664
5.2734375,29.0,955.1983,184584.69,0.0022156239
5.2734375,30.0,955.1983,184595.08,0.0022559166
5.2734375,31.0,955.1983,184604.83,0.0022644997
5.3710938,32.0,955.1983,188687.36,0.0022609234
5.3710938,33.0,955.1983,188695.95,0.0022671223
5.5664062,34.0,955.1983,195256.97,0.002248764
5.7617188,35.0,975.8707,201197.56,0.0023841858
6.0546875,36.0,975.8707,211802.2,0.002282858
6.1523438,37.0,975.8707,215161.53,0.0022740364
6.3476562,38.0,975.8707,221606.52,0.0022232533
6.3476562,39.0,975.8707,221910.48,0.0022120476
6.3476562,40.0,975.8707,222025.9,0.0028460026
6.4453125,41.0,975.8707,225264.2,0.0022361279
6.4453125,42.0,975.8707,225640.34,0.0022540092
6.4453125,43.0,975.8707,225657.39,0.0022819042
6.5429688,44.0,975.8707,228871.77,0.0024273396
6.7382812,45.0,975.8707,236143.05,0.0022113323
6.7382812,46.0,975.8707,236143.05,0.0022232533
6.7382812,47.0,975.8707,236216.77,0.0022728443
6.7382812,48.0,975.8707,236235.48,0.002506256
6.7382812,49.0,975.8707,236235.48,0.0022628307
6.8359375,50.0,975.8707,239524.95,0.0022649765
6.8359375,51.0,975.8707,239544.12,0.0028061867
6.8359375,52.0,975.8707,239544.12,0.002257347
6.8359375,53.0,975.8707,239547.34,0.0022864342
6.8359375,54.0,975.8707,239557.33,0.0023913383
7.03125,55.0,975.8707,246940.69,0.0024220943
7.1289062,56.0,975.8707,250754.31,0.0022406578
7.3242188,57.0,975.8707,256740.88,0.002269268
7.421875,58.0,975.8707,260607.14,0.0029649734
7.421875,59.0,975.8707,260935.98,0.002259016
7.421875,60.0,975.8707,260935.98,0.002245903
