coverage,iteration,max_fitness,qd_score,time
1.4648438,1.0,821.54333,51337.773,2.9123235
1.953125,2.0,821.54333,67488.47,0.0023658276
2.4414062,3.0,821.54333,83555.125,0.0028629303
2.9296875,4.0,821.54333,99004.914,0.0022308826
3.0273438,5.0,821.54333,102235.805,0.0022227764
3.515625,6.0,821.54333,115345.09,0.0022170544
3.6132812,7.0,821.54333,117827.55,0.00222826
3.90625,8.0,889.95374,128407.77,0.0022234917
4.1015625,9.0,889.95374,131988.53,0.0028595924
4.296875,10.0,889.95374,140463.14,0.0021989346
4.3945312,11.0,889.95374,143679.55,0.0022535324
4.4921875,12.0,944.771,146980.39,0.0022392273
4.6875,13.0,944.771,153470.2,0.002256155
4.6875,14.0,944.771,153473.23,0.0022222996
4.6875,15.0,944.771,153497.66,0.0023667812
4.6875,16.0,944.771,153525.66,0.0022351742
4.6875,17.0,944.771,153532.64,0.0022091866
4.7851562,18.0,944.771,156860.61,0.0023005009
4.8828125,19.0,944.771,161656.92,0.0021977425
4.9804688,20.0,944.771,165406.6,0.0022435188
5.078125,21.0,944.771,169100.89,0.0021870136
5.1757812,22.0,944.771,172347.12,0.0022075176
5.2734375,23.0,962.12854,176543.8,0.0021941662
5.3710938,24.0,962.12854,179785.48,0.0021970272
5.3710938,25.0,962.12854,182472.78,0.0022306442
5.3710938,26.0,962.12854,182472.78,0.0022556782
5.3710938,27.0,962.12854,183601.03,0.0022540092
5.3710938,28.0,962.12854,183601.03,0.0027878284
5.46875,29.0,962.12854,188046.0,0.0022172928
5.46875,30.0,972.6739,188114.25,0.0022940636
5.46875,31.0,972.6739,188128.84,0.0022497177
5.6640625,32.0,972.6739,194659.08,0.0022273064
5.7617188,33.0,972.6739,198289.78,0.0022275448
5.859375,34.0,972.6739,201672.9,0.0027263165
6.0546875,35.0,972.6739,208062.34,0.002413988
6.25,36.0,972.6739,215476.64,0.0023152828
6.3476562,37.0,972.6739,218907.89,0.002850294
6.5429688,38.0,972.6739,225306.0,0.0022153854
6.640625,39.0,972.6739,228612.58,0.0022087097
6.7382812,40.0,984.3368,231979.69,0.0022273064
6.9335938,41.0,984.3368,239355.8,0.00222826
6.9335938,42.0,984.3368,239362.38,0.0022070408
6.9335938,43.0,984.3368,239367.97,0.002221346
6.9335938,44.0,984.3368,239375.52,0.0021979809
6.9335938,45.0,984.3368,239375.52,0.002215147
6.9335938,46.0,984.3368,239956.61,0.0022146702
