coverage,iteration,max_fitness,qd_score,time
1.0742188,1.0,856.007,34784.133,2.989022
1.3671875,2.0,856.007,45381.23,0.0024240017
1.3671875,3.0,874.46436,45436.457,0.0025351048
1.6601562,4.0,874.46436,58299.453,0.0022335052
1.8554688,5.0,874.46436,64768.867,0.002212286
2.2460938,6.0,874.46436,73745.04,0.0024676323
2.34375,7.0,874.46436,77008.58,0.0022161007
2.4414062,8.0,874.46436,80357.164,0.002180338
2.8320312,9.0,907.85474,94968.26,0.002170086
3.2226562,10.0,907.85474,107934.21,0.0021510124
3.2226562,11.0,907.85474,108138.87,0.0021748543
3.3203125,12.0,907.85474,111381.04,0.0022025108
3.4179688,13.0,907.85474,112880.28,0.0021476746
3.6132812,14.0,907.85474,119158.516,0.0021693707
4.0039062,15.0,907.85474,126957.01,0.0022068024
4.0039062,16.0,907.85474,126957.01,0.00279212
4.1015625,17.0,907.85474,132488.86,0.0021970272
4.1992188,18.0,921.0347,135745.28,0.0021736622
4.3945312,19.0,921.0347,140050.53,0.002215147
4.3945312,20.0,921.0347,140857.25,0.0021691322
4.5898438,21.0,921.0347,147459.22,0.002263546
4.6875,22.0,921.0347,151605.86,0.00222373
4.7851562,23.0,921.0347,154841.23,0.0023009777
4.8828125,24.0,921.0347,155507.28,0.002183199
5.078125,25.0,921.0347,163833.72,0.0022408962
5.2734375,26.0,921.0347,167773.89,0.0023863316
5.3710938,27.0,921.0347,172894.4,0.0021886826
5.3710938,28.0,921.0347,172894.4,0.0027358532
5.5664062,29.0,921.0347,176594.03,0.0021920204
5.5664062,30.0,921.0347,176715.66,0.0021982193
5.6640625,31.0,932.5701,180076.61,0.0022218227
5.6640625,32.0,932.5701,180126.56,0.0021822453
5.859375,33.0,932.5701,186480.69,0.0021984577
6.0546875,34.0,932.5701,192966.05,0.0021984577
6.0546875,35.0,939.01495,193009.08,0.002761364
6.1523438,36.0,939.01495,197065.69,0.0021722317
6.25,37.0,939.01495,200331.38,0.0022108555
6.3476562,38.0,939.01495,201284.0,0.0021755695
6.640625,39.0,939.01495,210751.66,0.0021662712
6.7382812,40.0,939.01495,214050.62,0.0022115707
6.9335938,41.0,939.01495,218014.94,0.0022156239
7.03125,42.0,939.01495,221444.72,0.0021846294
7.1289062,43.0,939.01495,222122.45,0.002252102
7.2265625,44.0,939.01495,222740.39,0.0021739006
7.3242188,45.0,939.01495,225974.44,0.002200842
7.5195312,46.0,939.01495,228699.28,0.0021800995
7.5195312,47.0,939.01495,229361.6,0.0021994114
