coverage,iteration,max_fitness,qd_score,time
0.87890625,1.0,201.13525,1218.7825,7.5021105
1.8554688,2.0,201.13525,2454.024,0.0048615932
2.4414062,3.0,423.60205,3517.997,0.007735729
2.8320312,4.0,423.60205,4329.791,0.0071599483
3.3203125,5.0,423.60205,5301.2236,0.008426905
3.8085938,6.0,423.60205,6010.0566,0.006531
4.0039062,7.0,423.60205,6434.8374,0.008039713
4.1992188,8.0,423.60205,6663.7437,0.0066657066
4.296875,9.0,423.60205,6770.5728,0.008063555
4.5898438,10.0,423.60205,7626.766,0.008287668
4.8828125,11.0,423.60205,8559.633,0.008407116
4.9804688,12.0,423.60205,8879.229,0.007924795
5.1757812,13.0,423.60205,9133.13,0.008018255
5.3710938,14.0,423.60205,9529.948,0.006659031
5.3710938,15.0,423.60205,9776.452,0.0085122585
5.46875,16.0,423.60205,10109.819,0.0077884197
5.7617188,17.0,423.60205,10602.553,0.007954359
6.0546875,18.0,511.11652,11654.173,0.0071845055
6.25,19.0,511.11652,12796.726,0.008074999
6.7382812,20.0,511.11652,14015.46,0.0066685677
6.9335938,21.0,511.11652,14386.0625,0.008449078
7.2265625,22.0,511.11652,15079.246,0.008357763
7.421875,23.0,511.11652,15382.738,0.008327246
7.7148438,24.0,511.11652,16126.71,0.006357193
7.8125,25.0,511.11652,16217.626,0.008600712
8.203125,26.0,511.11652,17124.549,0.008328915
8.496094,27.0,511.11652,17943.393,0.0069060326
8.984375,28.0,511.11652,19177.719,0.007892609
8.984375,29.0,511.11652,19382.898,0.0074441433
9.277344,30.0,511.11652,20293.123,0.0074965954
9.765625,31.0,511.11652,21809.117,0.007675171
10.3515625,32.0,511.11652,23366.572,0.008348942
10.7421875,33.0,511.11652,23937.094,0.008051634
11.035156,34.0,511.11652,24529.467,0.0082502365
11.230469,35.0,511.11652,24974.178,0.008076668
11.71875,36.0,511.11652,25898.424,0.008228779
12.207031,37.0,547.19904,27275.703,0.008504152
12.5,38.0,547.19904,27968.96,0.008285999
12.597656,39.0,547.19904,28108.29,0.008415461
12.890625,40.0,547.19904,28799.586,0.0082530975
13.28125,41.0,547.19904,29891.854,0.008436441
13.671875,42.0,547.19904,31298.32,0.008491516
14.2578125,43.0,547.19904,33275.98,0.008421898
14.746094,44.0,780.746,35217.34,0.0083117485
15.0390625,45.0,780.746,35895.418,0.0080349445
15.527344,46.0,780.746,37254.594,0.008494854
16.015625,47.0,780.746,38586.01,0.0063364506
16.40625,48.0,780.746,39688.65,0.008309841
16.992188,49.0,780.746,41239.51,0.008401871
17.382812,50.0,780.746,42319.45,0.00838542
17.871094,51.0,780.746,43687.57,0.008089066
18.066406,52.0,780.746,44231.016,0.007975578
18.457031,53.0,780.746,45028.188,0.0067107677
18.75,54.0,780.746,45700.336,0.008015871
19.042969,55.0,780.746,46532.477,0.008288145
19.433594,56.0,780.746,47287.844,0.008553028
